ID,Num Faces,Flickr URL,License,Artist,In Paper
1,1,https://flic.kr/p/cm9FMy,CC BY-SA 2.0,Mark Fischer,0
2,1,https://flic.kr/p/2f7RUu1,Public Domain Mark 1.0,USDA,1
3,1,https://flic.kr/p/c8gEyq,CC BY 2.0,Forgemind ArchiMedia,0
4,1,https://flic.kr/p/4E4SSz,CC BY-SA 2.0,Peanutian,0
5,1,https://flic.kr/p/bKviUZ,CC BY-SA 2.0,Timothy Tsui,0
6,1,https://flic.kr/p/7JPPx,CC BY-SA 2.0,James Ho,0
7,3,https://flic.kr/p/H3CcTo,CC SA 2.0,Maryland GovPics,0
8,2,https://flic.kr/p/teXGTf,CC SA 2.0,Maryland GovPics,1
9,1,https://flic.kr/p/bTANm4,CC BY 2.0,David Shankbone,0
10,1,https://flic.kr/p/S2593T,CC BY 2.0,Dick Thomas Johnson,1
11,1,https://flic.kr/p/biiXLk,CC BY 2.0,Jakob Montrasio,0
12,1,https://flic.kr/p/fbV3aj,CC BY 2.0,Leo Leung,0
13,1,https://flic.kr/p/biiP1V,CC BY 2.0,Jakob Montrasio,0
14,1,https://flic.kr/p/25nu1uR,CC BY 2.0,Aaron Stidwell,1
15,1,https://flic.kr/p/U8ZGnw,CC BY 2.0,cloud.shepherd,0
16,1,https://flic.kr/p/cEg6jb,CC BY 2.0,Possible,0
17,1,https://flic.kr/p/GMhfMw,Public Domain Mark 1.0,Merenda Mattia,0
18,1,https://flic.kr/p/cEgckG,CC BY 2.0,Possible,0
19,1,https://flic.kr/p/cEg9hE,CC BY 2.0,Possible,0
20,1,https://flic.kr/p/34XqdE,CC BY 2.0,Alper Çuğun,0
21,1,https://flic.kr/p/RjbxmV,Public Domain Mark 1.0,Vihang A. Naik,0
22,1,https://flic.kr/p/cEg8qo,CC BY 2.0,Possible,1
23,1,https://flic.kr/p/FJfFaj,CC BY 2.0,Brett Morrison,0
24,1,https://flic.kr/p/djYnGk,CC BY 2.0,Lachlan Hardy,0
25,1,https://flic.kr/p/cEgdtu,CC BY 2.0,Possible,0
26,1,https://flic.kr/p/cEgdWA,CC BY 2.0,Possible,0
27,1,https://flic.kr/p/aeuYoH,CC BY-SA 2.0,Montagious,0
28,1,https://flic.kr/p/fUWMyg,CC BY-SA 2.0,Pirátská strana,0
29,1,https://flic.kr/p/23S81NF,CC BY 2.0,Brett Morrison,0
30,1,https://flic.kr/p/bujuvf,CC BY-SA 2.0,icannphotos,0
31,1,https://flic.kr/p/6Mc1me,CC BY-SA 2.0,Andrew Skudder,0
32,1,https://flic.kr/p/nXWY72,CC BY-SA 2.0,SPÖ Presse und Kommunikation,0
33,1,https://flic.kr/p/682kip,CC BY-SA 2.0,Sage Ross,0
34,1,https://flic.kr/p/8eXKfx,CC BY-SA 2.0,Lee Haywood,0
35,1,https://flic.kr/p/7ctBaX,CC BY-SA 2.0,David Martín :: Suki_ ::,0
36,1,https://flic.kr/p/dPCBsc,CC BY 2.0,Daniel X. O'Neil,0
37,1,https://flic.kr/p/EcZWzz,CC BY 2.0,Brett Morrison,0
38,1,https://flic.kr/p/24nZZee,CC BY-SA 2.0,Si1very,1
39,1,https://flic.kr/p/dPCDMM,CC BY 2.0,Daniel X. O'Neil,0
40,1,https://flic.kr/p/hcgMkS,CC BY 2.0,CurrencyFair,0
41,1,https://flic.kr/p/eNi5Uj,CC BY-SA 2.0,Robert Tucker,0
42,1,https://flic.kr/p/diUCLT,CC BY 2.0,Lachlan Hardy,0
43,1,https://flic.kr/p/pGTuvD,CC BY-SA 2.0,James Willamor,0
44,1,https://flic.kr/p/UPYtAT,CC BY 2.0,Katalin Kleemann,0
45,1,https://flic.kr/p/fUX4rb,CC BY-SA 2.0,Pirátská strana,0
46,1,https://flic.kr/p/a3MGD7,CC BY-SA 2.0,Chuck Grimmett,1
47,1,https://flic.kr/p/9Jmdgw,CC BY 2.0,Helena Van Eykeren,0
48,1,https://flic.kr/p/6ogd9e,CC BY-SA 2.0,Frédéric de Villamil,1
49,1,https://flic.kr/p/dPCATe,CC BY 2.0,Daniel X. O'Neil,0
50,1,https://flic.kr/p/J2hX2Y,CC BY 2.0,Jonas Witdoek,0
51,1,https://flic.kr/p/QKA7jr,Public Domain CC0 1.0,Jacob Seedenburg,0
52,1,https://flic.kr/p/4nBEEA,CC BY-SA 2.0,Sage Ross,0
53,1,https://flic.kr/p/fUWMyh,CC BY-SA 2.0,Pirátská strana,0
54,1,https://flic.kr/p/b6KkmV,CC BY-SA 2.0,Valeri Pizhanski,0
55,1,https://flic.kr/p/oTpxRW,Public Domain Mark 1.0,Owen Lucas,0
56,1,https://flic.kr/p/6ZWsJU,CC BY-SA 2.0,Julien Chatelain,0
57,1,https://flic.kr/p/21Nv9zG,Public Domain Mark 1.0,Mon Mer,0
58,1,https://flic.kr/p/W13DAS,CC BY-SA 2.0,Pirátská strana,1
59,1,https://flic.kr/p/bzB4L1,CC BY-SA 2.0,Petras Gagilas,0
60,1,https://flic.kr/p/62LyZj,CC BY 2.0,Lisa Dusseault,0
61,1,https://flic.kr/p/fUWiND,CC BY-SA 2.0,Pirátská strana,0
62,2,https://flic.kr/p/aKqHnn,CC BY-SA 2.0,mliu92,0
63,1,https://flic.kr/p/diW3g2,CC BY 2.0,Lachlan Hardy,0
64,1,https://flic.kr/p/6xVZUc,CC BY 2.0,liz west,0
65,1,https://flic.kr/p/diURR1,CC BY 2.0,Lachlan Hardy,0
66,1,https://flic.kr/p/asYGGw,CC BY 2.0,Neil H,0
67,1,https://flic.kr/p/dgBMYZ,CC BY 2.0,Flavio~,0
68,1,https://flic.kr/p/UPYsXD,CC BY 2.0,Katalin Kleemann,0
69,1,https://flic.kr/p/djWxba,CC BY 2.0,Lachlan Hardy,0
70,1,https://flic.kr/p/Y7RZnU,CC BY 2.0,Pierluigi Peperoni,0
71,1,https://flic.kr/p/QKBThv,Public Domain CC0 1.0,Jacob Seedenburg,0
72,1,https://flic.kr/p/d1ea3L,CC BY-SA 2.0,Laura,0
73,1,https://flic.kr/p/EcZT1v,CC BY 2.0,Brett Morrison,0
74,1,https://flic.kr/p/5Td3Jr,CC BY-SA 2.0,Shannon Luk,1
75,1,https://flic.kr/p/9aDS8R,CC BY-SA 2.0,Maria Rantanen,0
76,1,https://flic.kr/p/HtUzAM,CC BY-SA 2.0,Quim Perelló,0
77,1,https://flic.kr/p/QKC4Xi,Public Domain CC0 1.0,Jacob Seedenburg,1
78,1,https://flic.kr/p/QH6Cho,Public Domain CC0 1.0,Jacob Seedenburg,0
79,1,https://flic.kr/p/iN3pmY,CC BY-SA 2.0,Quinn Dombrowski,0
80,1,https://flic.kr/p/9nZgzc,CC BY 2.0,Rory MacLeod,0
81,1,https://flic.kr/p/s6wkJz,CC BY-SA 2.0,Mark Fischer,0
82,1,https://flic.kr/p/aRvKeZ,CC BY-SA 2.0,Gabriel White,0
83,1,https://flic.kr/p/wq9bG3,CC BY 2.0,VIA Agency,0
84,1,https://flic.kr/p/gAeCCx,CC BY 2.0,Vince Crabeo,1
85,1,https://flic.kr/p/9fYjcx,CC BY-SA 2.0,James Willamor,0
86,1,https://flic.kr/p/FWEEFF,CC BY 2.0,Sven T. Jonsson,0
87,1,https://flic.kr/p/P5Ed3Q,CC BY 2.0,SeeBee2189,0
88,1,https://flic.kr/p/9vdquS,CC BY 2.0,Adriel O. Socrates,0
89,1,https://flic.kr/p/9nm7SA,CC BY 2.0,Rory MacLeod,0
90,1,https://flic.kr/p/eoS36N,CC BY 2.0,Robby Schulze,1
91,1,https://flic.kr/p/djYGbQ,CC BY 2.0,Lachlan Hardy,0
92,1,https://flic.kr/p/6ZXSbE,CC BY-SA 2.0,Julien Chatelain,0
93,1,https://flic.kr/p/8iAwLG,CC BY-SA 2.0,Michele,0
94,1,https://flic.kr/p/cEgdaL,CC BY 2.0,Possible,1
95,1,https://flic.kr/p/8PMjnd,CC BY 2.0,Adam Axon,0
96,1,https://flic.kr/p/23Es5Qm,CC BY-SA 2.0,Phil Desveaux,0
97,1,https://flic.kr/p/25n98a6,Public Domain CC0 1.0,Community Archives,1